# q	Energy	Moment
0.000000	0.0000000	4.4029789
0.020833	-0.1795951	4.3987651
0.041667	-0.4054496	4.3983621
0.0625	-0.7564765	4.3979082
0.083333	-1.2353970	4.3974879
0.104167	-1.6843847	4.3994941
0.125	-2.3048042	4.4036969
0.145833	-2.8408687	4.4069043
0.166667	-3.7279598	4.4069361
0.1875	-4.2259282	4.4100296
0.208333	-4.6068875	4.4161836
0.229167	-4.2096012	4.4222726
0.25	-3.1293094	4.4267497
0.270833	-1.1374358	4.4322745
0.291667	1.5592124	4.4431512
0.3125	4.4218501	4.4503805
0.333333	6.7375390	4.4541000
0.354167	9.0695546	4.4628322
0.375	11.3389842	4.4722890
0.395833	13.2682714	4.4787679
0.416667	15.3553845	4.4849559
0.4375	16.8628952	4.4884630
0.458333	17.6819580	4.4936637
0.479167	18.3867329	4.4955658
0.5	18.6261931	4.4958703
