#q	Energy	Moment
0.000000	0.0000000	4.3766315
0.020833	-0.0163268	4.3742263
0.041667	-0.3183733	4.3778865
0.0625	-0.7483130	4.3815218
0.083333	-1.1183879	4.3865284
0.104167	-1.6979905	4.3815502
0.125	-3.0123003	4.3815457
0.145833	-3.7714980	4.3851146
0.166667	-4.3973598	4.3879373
0.1875	-5.2545185	4.3917119
0.208333	-5.4640461	4.3979756
0.229167	-4.6177720	4.4051290
0.25	-2.8925703	4.4079312
0.270833	-0.8843700	4.4108079
0.291667	2.0190847	4.4190292
0.3125	5.6626892	4.4310019
0.333333	9.5267060	4.4413337
0.354167	12.9635038	4.4507142
0.375	16.2234278	4.4582844
0.395833	19.2874297	4.4666833
0.416667	21.6956374	4.4714649
0.4375	23.6575781	4.4759841
0.458333	25.5487693	4.4787635
0.479167	27.0834915	4.4816002
0.5	27.4562875	4.4839398
