# q	Energy	Moment
0.000000	0.0000000	4.4284570
0.020833	-0.1932007	4.4290424
0.041667	-0.2367391	4.4272714
0.0625	-0.2394602	4.4278938
0.083333	-0.6476309	4.4263645
0.104167	-0.9632830	4.4212128
0.125	-1.3415212	4.4265985
0.145833	-2.1578628	4.4256271
0.166667	-2.9905312	4.4286850
0.1875	-3.9646987	4.4300703
0.208333	-4.8953282	4.4325414
0.229167	-5.5620071	4.4356953
0.25	-5.8803803	4.4408225
0.270833	-5.5592859	4.4486973
0.291667	-3.9973524	4.4530623
0.3125	-2.0136424	4.4632584
0.333333	-0.4653147	4.4716580
0.354167	1.0694075	4.4812432
0.375	2.6231775	4.4882653
0.395833	3.9456508	4.4941510
0.416667	4.7456657	4.4993666
0.4375	5.7252755	4.5021994
0.458333	6.2368494	4.5040772
0.479167	6.6504625	4.5061878
0.5	6.6803950	4.5075760
