# q	Energy	Moment
0.000000	0.0000000	4.4057339
0.020833	-0.2013642	4.4086612
0.041667	-0.3020463	4.4125702
0.0625	-0.4000072	4.4139538
0.083333	-0.6993326	4.4177055
0.104167	-1.1592049	4.4168283
0.125	-1.3605691	4.4140790
0.145833	-2.2449391	4.4146045
0.166667	-3.1973377	4.4181115
0.1875	-3.8286417	4.4179758
0.208333	-4.4463403	4.4235467
0.229167	-4.7919248	4.4269305
0.25	-4.5470224	4.4362868
0.270833	-3.3497215	4.4419840
0.291667	-1.3333577	4.4486706
0.3125	0.8925335	4.4554347
0.333333	3.3143468	4.4651953
0.354167	4.9225396	4.4736096
0.375	6.8463845	4.4782517
0.395833	8.6504994	4.4848450
0.416667	9.7144646	4.4910855
0.4375	10.8763907	4.4963002
0.458333	11.8206258	4.4994681
0.479167	12.0709705	4.5012494
0.5	12.3267574	4.5015797
