#  q	Energy	Moment
0.000000	0.0000000	3.8199533
0.020833	0.0027212	3.8198883
0.041667	1.1183879	3.8221757
0.0625	3.0503961	3.8217808
0.083333	5.5756127	3.8205161
0.104167	9.1484676	3.8191444
0.125	13.6709998	3.8169836
0.145833	19.0996711	3.8173566
0.166667	25.5161156	3.8241646
0.1875	32.7380174	3.8265325
0.208333	40.3871377	3.8305065
0.229167	49.1573670	3.8293147
0.25	59.2310218	3.8306200
0.270833	70.1291816	3.8379111
0.291667	81.6096648	3.8373347
0.3125	93.5445783	3.8390653
0.333333	105.6019430	3.8383660
0.354167	118.5654469	3.8424820
0.375	131.1289434	3.8464215
0.395833	142.0026127	3.8541126
0.416667	151.8123171	3.8599386
0.4375	160.3430863	3.8627269
0.458333	166.6479644	3.8677555
0.479167	170.6235477	3.8687190
0.5	172.1392217	3.8705252
