#q	Energy	Moment
0.000000	0.0000000	4.2070212
0.020833	0.0054423	4.2066098
0.041667	-0.0897975	4.2073492
0.0625	-0.1904796	4.2071189
0.083333	-0.3972861	4.2080674
0.104167	-0.3265365	4.2129760
0.125	-0.0653072	4.2155139
0.145833	0.3945651	4.2190780
0.166667	0.5714391	4.2222460
0.1875	1.2435605	4.2270205
0.208333	2.8136573	4.2367998
0.229167	4.9443087	4.2433680
0.25	7.6463992	4.2517607
0.270833	11.3362630	4.2587384
0.291667	16.0792075	4.2674092
0.3125	22.0248951	4.2770642
0.333333	28.2563024	4.2871761
0.354167	33.7910981	4.2984022
0.375	38.8360889	4.3057614
0.395833	43.7395804	4.3128118
0.416667	47.9410183	4.3213064
0.4375	50.6621568	4.3278845
0.458333	52.8390675	4.3302267
0.479167	53.8812636	4.3323169
0.5	54.3275303	4.3339001
