# q	Energy	Moment
0.000000	0.0000000	4.6374444
0.020833	-0.1687105	4.6367320
0.041667	-0.2149700	4.6329200
0.0625	-0.7836879	4.6294446
0.083333	-1.3986652	4.6299848
0.104167	-1.6979903	4.6292973
0.125	-2.1197668	4.6276929
0.145833	-3.1810108	4.6195974
0.166667	-4.3810329	4.6225644
0.1875	-5.1266250	4.6186241
0.208333	-6.9035283	4.6124607
0.229167	-8.7511813	4.6097299
0.25	-10.6532572	4.6068786
0.270833	-13.0478591	4.6076333
0.291667	-14.5989080	4.6092568
0.3125	-15.6792001	4.6134190
0.333333	-16.0139001	4.6194619
0.354167	-15.2791926	4.6238593
0.395833	-12.5716598	4.6380486
0.416667	-12.0791337	4.6433334
0.4375	-11.1321777	4.6490302
0.458333	-10.6423726	4.6543546
0.479167	-10.3076725	4.6572140
0.5	-9.9920204	4.6586614
