# q	Energy	Moment
0.000000	0.0000000	4.1145029
0.020833	0.1061244	4.1132292
0.041667	0.2258546	4.1145237
0.0625	0.3537481	4.1150541
0.083333	0.4217765	4.1140982
0.104167	0.6176986	4.1182156
0.125	1.1374360	4.1232691
0.145833	1.7823458	4.1255257
0.166667	2.9306663	4.1339903
0.1875	4.6531468	4.1443172
0.208333	6.8382211	4.1523609
0.229167	9.7307913	4.1598958
0.25	13.5621544	4.1678597
0.270833	17.9459085	4.1756034
0.291667	22.9528034	4.1864581
0.3125	28.6209349	4.1947696
0.333333	34.5557379	4.2031429
0.354167	40.0959759	4.2094115
0.375	45.6117237	4.2173279
0.395833	50.7492333	4.2251670
0.416667	54.8118929	4.2308148
0.4375	58.3221616	4.2351624
0.458333	60.7983977	4.2374472
0.479167	62.3467256	4.2404965
0.5	62.8202035	4.2413180
