# q	Energy	Moment
0.000000	0.0000000	4.2217822
0.020833	-0.2612293	4.2211780
0.041667	-0.2449024	4.2198917
0.0625	-0.3510268	4.2212475
0.083333	-0.5687179	4.2213063
0.104167	-0.5823235	4.2239769
0.125	-0.4136130	4.2250641
0.145833	-0.3129309	4.2279798
0.166667	0.1904798	4.2369171
0.1875	1.0911765	4.2452169
0.208333	2.3701117	4.2535042
0.229167	4.5606282	4.2611038
0.25	7.1239406	4.2703208
0.270833	10.8301314	4.2796150
0.291667	15.4152496	4.2886079
0.3125	20.5962974	4.2974194
0.333333	25.6358458	4.3082561
0.354167	30.2563392	4.3172797
0.375	34.6890737	4.3251197
0.395833	38.3979856	4.3302951
0.416667	42.3082615	4.3340443
0.4375	44.8960643	4.3395216
0.458333	46.8144669	4.3443365
0.479167	47.9655086	4.3454855
0.5	48.3491891	4.3446547
