#q	Energy	Moment
0.000000	0.0000000	4.1774564
0.020833	-0.6367465	4.1767218
0.041667	-0.7836879	4.1814612
0.0625	-0.6857270	4.1777948
0.083333	-1.1483205	4.1801426
0.104167	-1.2299547	4.1829166
0.125	-0.8081782	4.1884666
0.145833	-0.4244977	4.1981504
0.166667	0.3646326	4.2100122
0.1875	2.1551417	4.2147533
0.208333	4.0191215	4.2243995
0.229167	7.1239406	4.2343778
0.25	11.2410232	4.2419239
0.270833	15.5975659	4.2511092
0.291667	21.5024365	4.2578673
0.3125	28.8413471	4.2651358
0.333333	35.2795607	4.2733084
0.354167	41.3259305	4.2818792
0.375	47.0729749	4.2894420
0.395833	51.9166015	4.2955394
0.416667	56.0227995	4.3005150
0.4375	59.9793349	4.3043569
0.458333	62.5780221	4.3081842
0.479167	64.3766947	4.3095912
0.5	65.2556224	4.3117145
