# q	Energy	Moments
0.000000	0.0000000	4.2509174
0.020833	0.0625861	4.2506208
0.041667	0.0707495	4.2491224
0.0625	0.0027212	4.2473149
0.083333	-0.2938830	4.2467757
0.104167	-0.4326611	4.2502542
0.125	-0.7292651	4.2521529
0.145833	-0.7401498	4.2547111
0.166667	-1.0830133	4.2598426
0.1875	-1.0966189	4.2672955
0.208333	-0.4571514	4.2752046
0.229167	0.5442277	4.2772543
0.25	2.0544596	4.2830178
0.270833	4.3211678	4.2865805
0.291667	7.5647650	4.2965063
0.3125	11.0723125	4.3045966
0.333333	14.8193203	4.3149302
0.354167	18.2969352	4.3218426
0.375	22.1990479	4.3313498
0.395833	25.1052238	4.3430968
0.416667	27.8590159	4.3496546
0.4375	30.3216462	4.3538435
0.458333	31.6522830	4.3561013
0.479167	32.7516230	4.3578988
0.5	33.3666002	4.3599391
