# q	Energy	Moment
0.000000	0.0000000	4.2621405
0.020833	0.0789130	4.2630922
0.041667	-0.1442204	4.2634910
0.0625	-0.4435456	4.2638064
0.083333	-0.3972863	4.2642264
0.104167	-0.7864091	4.2672879
0.125	-1.1319937	4.2670462
0.145833	-1.5129530	4.2710732
0.166667	-1.7769035	4.2729727
0.1875	-1.9347296	4.2704809
0.208333	-2.3347368	4.2761526
0.229167	-1.9238449	4.2873269
0.25	-0.9360716	4.2934187
0.270833	0.9741675	4.2995231
0.291667	3.3197889	4.3060299
0.3125	6.3701852	4.3122602
0.333333	9.6083400	4.3190856
0.354167	13.2655502	4.3274347
0.375	15.9132180	4.3374738
0.395833	18.5500011	4.3449840
0.416667	21.1160348	4.3516954
0.4375	23.2167537	4.3586704
0.458333	24.7106586	4.3623555
0.479167	25.6385670	4.3642738
0.5	26.2127272	4.3654197
