# q	Energy	Moment
0.000000	0.0000000	4.2382136
0.020833	-0.0353749	4.2379557
0.041667	-0.1469416	4.2378488
0.0625	-0.1551049	4.2410929
0.083333	-0.3156521	4.2367957
0.104167	-0.1142879	4.2411230
0.125	-0.3483058	4.2384543
0.145833	-0.6503521	4.2404815
0.166667	-0.4517091	4.2431743
0.1875	0.1333356	4.2496784
0.208333	0.9387926	4.2600147
0.229167	2.4626303	4.2663237
0.25	4.7837615	4.2765354
0.270833	7.4450348	4.2812356
0.291667	10.9689093	4.2892796
0.3125	15.5023259	4.3001020
0.333333	19.9432241	4.3104224
0.354167	23.9405765	4.3204430
0.375	27.8617371	4.3281779
0.395833	31.8699741	4.3351768
0.416667	35.0754753	4.3417340
0.4375	37.3258568	4.3481011
0.458333	39.2796343	4.3505351
0.479167	40.1884945	4.3530543
0.5	40.4850987	4.3534123
