#q	Energy	Moments
0.000000	0.0000000	4.0633436
0.020833	-0.0625863	4.0627270
0.041667	-0.0816342	4.0643849
0.0625	0.1795951	4.0686168
0.083333	0.5523912	4.0720123
0.104167	1.1347147	4.0789467
0.125	2.0816710	4.0877938
0.145833	3.5538068	4.0970928
0.166667	5.6300355	4.1054527
0.1875	8.3103569	4.1156132
0.208333	11.4097337	4.1235069
0.229167	15.2084431	4.1322329
0.25	19.7609078	4.1403258
0.270833	25.1052238	4.1483889
0.291667	31.6277929	4.1546666
0.3125	38.6918684	4.1631100
0.333333	46.2784025	4.1723390
0.354167	53.4975831	4.1799874
0.375	60.5181204	4.1882324
0.395833	66.9182380	4.1954943
0.416667	72.3986111	4.2020957
0.4375	76.4694343	4.2070418
0.458333	79.1143808	4.2109622
0.479167	80.9810820	4.2129969
0.5	81.7647697	4.2139294
