# q	Energy	Moment
0.000000	0.0000000	4.1198027
0.020833	-0.0136058	4.1193083
0.041667	0.1061244	4.1172690
0.0625	0.1877586	4.1170014
0.083333	0.1306147	4.1173822
0.104167	0.4462667	4.1230118
0.125	0.9333505	4.1257599
0.145833	1.4666935	4.1327098
0.166667	2.6204563	4.1388291
0.1875	4.5007631	4.1511269
0.208333	6.8491055	4.1626625
0.229167	9.6926953	4.1688991
0.25	13.4669144	4.1793663
0.270833	17.9513506	4.1863691
0.291667	23.5759440	4.1964593
0.3125	29.8699373	4.2046868
0.333333	36.6455721	4.2144059
0.354167	43.0592957	4.2221353
0.375	49.1410402	4.2323298
0.395833	54.9316229	4.2379956
0.416667	59.9439600	4.2460604
0.4375	63.5222573	4.2506302
0.458333	66.0583583	4.2549957
0.479167	67.5685901	4.2572088
0.5	68.3522781	4.2574411
