# q	Energy	Moment
0.000000	0.0000000	4.2329163
0.020833	-0.0272114	4.2328142
0.041667	-0.1687105	4.2326091
0.0625	-0.1414991	4.2315995
0.083333	-0.5632756	4.2337112
0.104167	-0.5061317	4.2368408
0.125	-0.4707570	4.2372195
0.145833	-0.4027284	4.2386294
0.166667	-0.0571439	4.2448037
0.1875	0.7238228	4.2535213
0.208333	1.9374507	4.2615260
0.229167	3.9510931	4.2700122
0.25	6.5633862	4.2769990
0.270833	10.1307988	4.2874387
0.291667	14.5553698	4.2959838
0.3125	19.5023997	4.3051109
0.333333	24.3052091	4.3163800
0.354167	28.8712796	4.3248707
0.375	33.2305434	4.3331583
0.395833	36.7897926	4.3379784
0.416667	40.4687719	4.3418191
0.4375	43.1463722	4.3468223
0.458333	44.9804195	4.3522161
0.479167	46.1314611	4.3532526
0.5	46.4416709	4.3522452
