# q	Energy	Moment
0.000000	0.0000000	4.2352418
0.020833	-0.2585081	4.2384074
0.041667	-0.3755170	4.2438166
0.0625	-0.2204121	4.2436736
0.083333	-0.3864016	4.2443063
0.104167	-0.6530731	4.2452443
0.125	-1.0503593	4.2479550
0.145833	-1.3660114	4.2510978
0.166667	-1.6816635	4.2524804
0.1875	-1.8857489	4.2517609
0.208333	-1.8721433	4.2609395
0.229167	-1.1564838	4.2679443
0.25	-0.0027210	4.2757742
0.270833	1.9537775	4.2807822
0.291667	4.5715129	4.2887370
0.3125	7.7742927	4.2920762
0.333333	11.3335420	4.3024079
0.354167	15.1921163	4.3102178
0.375	18.1799264	4.3207963
0.395833	21.0915446	4.3297422
0.416667	23.8072409	4.3357951
0.4375	26.2861981	4.3424113
0.458333	27.8127568	4.3462666
0.479167	28.8984910	4.3488081
0.5	29.5461220	4.3498283
