# q	Energy	Moment
0.000000	0.0000000	4.4054311
0.020833	-0.1251723	4.4069542
0.041667	-0.4517089	4.4041731
0.0625	-0.7728033	4.4047220
0.083333	-1.2680505	4.4052005
0.104167	-1.7252017	4.4061076
0.125	-2.7075328	4.4094701
0.145833	-3.3497215	4.4102741
0.166667	-3.6844215	4.4124989
0.1875	-4.1823899	4.4146817
0.208333	-4.2422550	4.4216174
0.229167	-3.3606059	4.4297866
0.25	-1.2979831	4.4333984
0.270833	1.2381181	4.4397288
0.291667	3.9891891	4.4467858
0.3125	6.5606650	4.4545378
0.333333	9.1321409	4.4647280
0.354167	11.8750486	4.4722019
0.375	14.3921017	4.4800154
0.395833	16.5200319	4.4880774
0.416667	18.4030597	4.4918871
0.4375	20.0466274	4.4960398
0.458333	21.4316869	4.4980825
0.479167	22.7732081	4.5005083
0.5	22.7269488	4.5030878
