# q	Energy	Moment
0.000000	0.0000000	4.4243461
0.020833	-0.2829986	4.4265182
0.041667	-0.0380960	4.4266248
0.0625	-0.2122488	4.4231855
0.083333	-0.4435456	4.4217147
0.104167	-0.9387928	4.4202894
0.125	-1.4939051	4.4199359
0.145833	-2.0871133	4.4242503
0.166667	-2.6476679	4.4223957
0.1875	-3.5102687	4.4254003
0.208333	-4.8871647	4.4259758
0.229167	-5.8749380	4.4288982
0.25	-6.2640608	4.4335839
0.270833	-6.4273292	4.4399566
0.291667	-5.7905829	4.4482685
0.3125	-4.0191217	4.4562331
0.333333	-2.4680726	4.4628383
0.354167	-1.0177058	4.4706691
0.375	0.2394600	4.4791923
0.395833	1.1510414	4.4866266
0.416667	2.2449391	4.4911194
0.4375	3.2381547	4.4956087
0.458333	3.8612954	4.4972405
0.479167	4.3048410	4.4986737
0.5	4.8517899	4.4988392
